age,gender,education level,job title,years of experience,country,race,senior,salary
32.0,Male,elementary,Software Engineer,5.0,UK,White,0,90000.0
28.0,Female,high school,Data Analyst,3.0,USA,Hispanic,0,65000.0
45.0,Male,university,Manager,15.0,Canada,White,1,150000.0
36.0,Female,elementary,Sales Associate,7.0,USA,Hispanic,0,60000.0
52.0,Male,high school,Director,20.0,USA,Asian,0,200000.0
29.0,Male,elementary,Marketing Analyst,2.0,USA,Hispanic,0,55000.0
42.0,Female,high school,Product Manager,12.0,USA,Asian,0,120000.0
31.0,Male,elementary,Sales Manager,4.0,China,Korean,0,80000.0
26.0,Female,elementary,Marketing Coordinator,1.0,China,Chinese,0,45000.0
,Male,university,Scientist,10.0,Australia,Australian,1,110000.0
,Male,high school,Software Developer,3.0,UK,Welsh,0,75000.0
48.0,Female,elementary,HR Manager,18.0,UK,Asian,0,140000.0
,Male,elementary,Financial Analyst,6.0,China,Korean,0,65000.0
40.0,Female,high school,Project Manager,14.0,USA,African American,0,130000.0
27.0,Male,elementary,Customer Service Rep,2.0,Canada,Asian,0,40000.0
44.0,Male,elementary,Operations Manager,16.0,China,Chinese,0,125000.0
33.0,Female,high school,Marketing Manager,7.0,USA,Asian,0,90000.0
39.0,Male,university,Engineer,12.0,UK,Mixed,1,115000.0
25.0,Female,elementary,Data Entry Clerk,0.0,UK,Asian,0,35000.0
51.0,Male,elementary,Sales Director,22.0,Australia,Asian,0,180000.0
34.0,Female,high school,Business Analyst,5.0,China,Korean,0,80000.0
47.0,Male,high school,VP of Operations,19.0,UK,White,0,190000.0
30.0,Male,elementary,IT Support,2.0,UK,Asian,0,50000.0
36.0,Female,elementary,Recruiter,9.0,China,White,0,60000.0
41.0,Male,high school,Financial Manager,13.0,USA,African American,0,140000.0
28.0,Female,elementary,Social Media Specialist,3.0,Canada,White,0,45000.0
37.0,Female,high school,Software Manager,11.0,Australia,Asian,0,110000.0
24.0,Male,,Developer,1.0,Australia,Asian,0,40000.0
43.0,Female,university,Consultant,15.0,Canada,Black,1,140000.0
33.0,Male,high school,Product Designer,6.0,China,Korean,0,90000.0
50.0,Male,elementary,CEO,25.0,Canada,Asian,0,250000.0
31.0,Female,elementary,Accountant,4.0,UK,White,0,55000.0
29.0,Male,high school,Data Scientist,3.0,USA,Hispanic,0,75000.0
39.0,Female,elementary,Marketing Specialist,10.0,Canada,White,0,65000.0
46.0,Male,university,Manager,20.0,USA,Hispanic,1,170000.0
27.0,Male,elementary,Technical Writer,2.0,Australia,Asian,0,45000.0
35.0,Female,elementary,HR Generalist,7.0,UK,White,0,60000.0
42.0,Male,high school,Project Engineer,14.0,China,White,0,115000.0
26.0,Female,elementary,Customer Success Rep,1.0,Canada,Asian,0,40000.0
49.0,Male,elementary,Sales Executive,21.0,China,White,0,160000.0
34.0,Female,high school,UX Designer,5.0,UK,Asian,0,80000.0
48.0,Male,high school,Operations Director,18.0,Canada,Black,0,190000.0
30.0,,elementary,Network Engineer,3.0,China,Korean,0,60000.0
36.0,Female,elementary,Administrative Assistant,8.0,UK,Asian,0,45000.0
41.0,Male,high school,Strategy Consultant,13.0,UK,Asian,0,130000.0
28.0,Female,elementary,Copywriter,2.0,USA,White,0,40000.0
32.0,Male,elementary,Account Manager,5.0,Australia,Asian,0,75000.0
45.0,Female,high school,Director of Marketing,16.0,UK,Welsh,0,180000.0
38.0,Male,university,Scientist,11.0,Australia,Asian,1,120000.0
25.0,Male,elementary,Help Desk Analyst,0.0,USA,Asian,0,35000.0
51.0,Female,elementary,Customer Service Manager,22.0,China,Korean,0,130000.0
33.0,Male,high school,Business Intelligence Analyst,7.0,Australia,Australian,0,85000.0
,Female,elementary,Event Coordinator,12.0,China,White,0,60000.0
47.0,Male,high school,VP of Finance,19.0,Australia,Asian,0,200000.0
29.0,Female,elementary,Graphic Designer,3.0,Canada,Black,0,50000.0
36.0,Male,elementary,Sales Manager,9.0,China,Korean,0,95000.0
27.0,Female,high school,UX Researcher,2.0,Canada,White,0,65000.0
,Male,university,Engineer,17.0,USA,Hispanic,1,140000.0
30.0,Female,elementary,Social Media Manager,4.0,Canada,White,0,55000.0
35.0,Male,high school,Product Manager,7.0,Canada,Asian,0,105000.0
51.0,Female,high school,Director of Operations,23.0,USA,African American,0,170000.0
,Male,elementary,Marketing Analyst,3.0,China,Chinese,0,50000.0
40.0,Female,,HR Manager,12.0,China,Korean,0,80000.0
47.0,Male,,Data Scientist,21.0,China,White,1,180000.0
26.0,Male,elementary,Accountant,1.0,Australia,Australian,0,35000.0
38.0,Female,high school,Digital Marketing Manager,10.0,China,Korean,0,90000.0
46.0,Male,elementary,IT Manager,19.0,Australia,Australian,0,120000.0
31.0,Female,elementary,Customer Service Representative,5.0,Canada,Asian,0,45000.0
34.0,Male,high school,Business Development Manager,8.0,Canada,Asian,0,90000.0
49.0,Female,high school,Financial Analyst,18.0,Canada,White,1,150000.0
33.0,Male,elementary,Web Developer,6.0,USA,Hispanic,0,65000.0
,Female,elementary,Recruiter,11.0,USA,Asian,0,70000.0
45.0,Male,university,Research Director,16.0,UK,Mixed,0,190000.0
28.0,Male,elementary,Technical Support Specialist,2.0,China,Korean,0,40000.0
42.0,Female,high school,Creative Director,14.0,Canada,Black,0,120000.0
37.0,Male,elementary,Project Manager,10.0,USA,Asian,0,95000.0
50.0,Female,elementary,Operations Manager,22.0,USA,White,0,160000.0
32.0,Male,high school,Software Engineer,6.0,USA,African American,1,100000.0
48.0,Female,high school,Human Resources Director,20.0,Canada,Black,0,180000.0
30.0,Female,elementary,Content Marketing Manager,3.0,Australia,White,0,55000.0
36.0,Male,elementary,Technical Recruiter,8.0,UK,Asian,0,70000.0
41.0,Female,high school,Data Analyst,13.0,USA,White,0,80000.0
25.0,Male,elementary,Sales Representative,0.0,Australia,Asian,0,30000.0
52.0,Male,university,Chief Technology Officer,24.0,Canada,Black,0,250000.0
29.0,Female,elementary,Designer,2.0,Australia,Asian,0,40000.0
34.0,Female,high school,Financial Advisor,10.0,UK,White,0,95000.0
27.0,Male,elementary,Account Manager,2.0,Canada,White,0,45000.0
,Female,elementary,HR Generalist,15.0,USA,Hispanic,0,80000.0
46.0,Male,high school,Project Manager,21.0,Canada,Asian,1,135000.0
31.0,Female,elementary,Marketing Coordinator,6.0,Australia,Asian,0,55000.0
36.0,Male,university,Principal Scientist,11.0,UK,Mixed,0,120000.0
29.0,Female,elementary,Sales Associate,3.0,China,White,0,40000.0
43.0,Male,elementary,Supply Chain Manager,18.0,UK,Welsh,0,105000.0
52.0,Female,,Marketing Manager,25.0,China,Chinese,1,170000.0
33.0,Male,elementary,Business Analyst,7.0,Australia,Australian,0,75000.0
39.0,Female,elementary,Training Specialist,12.0,USA,African American,0,65000.0
47.0,Male,university,Research Scientist,22.0,Australia,Asian,0,160000.0
26.0,Male,elementary,Software Developer,1.0,China,White,0,35000.0
38.0,Female,high school,Public Relations Manager,10.0,UK,Asian,0,90000.0
45.0,Male,elementary,Operations Analyst,20.0,China,Chinese,0,110000.0
31.0,Female,elementary,Event Coordinator,5.0,Australia,Asian,0,45000.0
35.0,Male,high school,Product Marketing Manager,8.0,China,White,0,95000.0
49.0,Female,high school,HR Manager,19.0,Australia,White,1,150000.0
,Male,elementary,Web Developer,5.0,Canada,Asian,0,50000.0
39.0,Female,high school,Project Coordinator,13.0,UK,Welsh,1,80000.0
44.0,Male,university,Chief Data Officer,16.0,USA,African American,0,220000.0
30.0,Female,elementary,Digital Content Producer,3.0,UK,White,0,50000.0
36.0,Male,elementary,IT Support Specialist,7.0,USA,Asian,0,60000.0
41.0,Female,high school,Marketing Analyst,14.0,USA,White,1,100000.0
28.0,Male,elementary,Customer Success Manager,2.0,USA,Hispanic,0,40000.0
42.0,Female,high school,Graphic Designer,15.0,USA,Asian,1,110000.0
37.0,Male,elementary,Software Project Manager,9.0,UK,White,0,95000.0
50.0,Female,elementary,Supply Chain Analyst,22.0,UK,Welsh,0,130000.0
32.0,Male,high school,Business Analyst,6.0,USA,Asian,1,90000.0
23.0,Female,elementary,Marketing Analyst,0.5,USA,White,0,35000.0
31.0,Male,high school,Financial Analyst,6.0,Australia,Asian,1,95000.0
40.0,Female,,Office Manager,15.0,USA,White,0,65000.0
48.0,Male,university,Principal Engineer,20.0,USA,Hispanic,0,170000.0
29.0,Female,elementary,HR Generalist,3.0,Australia,Australian,0,45000.0
35.0,Male,high school,Product Manager,10.0,Canada,White,1,120000.0
42.0,Female,,Sales Manager,17.0,China,Korean,0,100000.0
53.0,Male,high school,Director of Marketing,25.0,UK,Mixed,0,180000.0
,Female,elementary,Operations Analyst,5.0,Australia,Australian,0,50000.0
38.0,Male,elementary,Customer Service Manager,11.0,China,White,0,80000.0
44.0,Female,university,Scientist,16.0,UK,Mixed,1,140000.0
26.0,Male,elementary,Accountant,2.0,UK,White,0,40000.0
37.0,Female,high school,HR Generalist,9.0,USA,African American,1,95000.0
45.0,Male,elementary,Sales Operations Manager,18.0,UK,White,0,110000.0
32.0,Female,elementary,Marketing Coordinator,4.0,USA,White,0,50000.0
34.0,Male,high school,Software Developer,8.0,Canada,White,1,105000.0
50.0,Female,high school,Director of Operations,21.0,UK,White,0,160000.0
29.0,Male,elementary,Web Designer,3.0,China,White,0,45000.0
40.0,Female,high school,Training Specialist,12.0,Canada,Black,1,100000.0
47.0,Male,university,Research Scientist,22.0,USA,Hispanic,1,160000.0
27.0,Male,,Sales Representative,1.0,UK,Mixed,0,35000.0
39.0,Female,elementary,Administrative Assistant,10.0,Canada,Black,0,55000.0
46.0,Male,high school,Project Manager,19.0,Canada,Black,1,140000.0
30.0,Female,elementary,Marketing Manager,4.0,Canada,White,0,50000.0
